onset	duration	fixation_onset	item_name_left	item_name_right	item_rank_left	item_rank_right	is_left_go	response	pair_type	is_go_chosen	RT
2.011759	0.91899	3.412382	Twix	Apropo	11	7	1	b	1	1	886.62
5.012299	0.91899	6.629646	DoritosSourSpicy	CrunchBisquitBrown3	15	9	0	b	1	0	1105.07
8.015457	0.91899	9.463665	Snickers	ChocolateParaMarir2	10	17	0	b	1	0	948.93
13.01404	0.91899	14.6145	SkittlesSour4	BisliGrill	50	48	0	y	2	1	1099.34
18.01517	0.91899	19.3819	DoritosSourSpicy	Twix	15	11	0	y	1	1	859.21
25.01607	0.91899	26.51642	DoritosSourSpicy	Cheetos	15	14	0	y	1	1	992.31
29.01683	0.91899	30.46735	Halva2	HispusimShatiah	49	53	1	b	2	1	945.55
32.0173	0.91899	33.59586	BisliGrill	HispusimShatiah	48	53	1	b	2	1	1073.08
39.01856	0.91899	40.46908	Apropo	CrunchBisquitBrown3	7	9	0	y	1	1	946.82
43.01927	0.91899	44.31962	Cheetos	Kitkat	14	12	1	y	1	0	798.11
46.01979	0.91899	47.28675	Bamba	CrunchBisquitBrown3	13	9	0	y	1	1	766.59
50.02048	0.91899	51.83763	KashitSour	GumiWine2	54	45	1	b	2	1	1312.91
54.02114	0.91899	55.32147	Cheetos	Bamba	14	13	1	b	1	1	798.24
59.02201	0.91899	60.34634	HispusimShatiah	BisliOnion	53	51	0	y	2	1	826.37
63.02267	0.91899	64.47957	CrunchShokoVanil	ChocolateParaSucariotKoftzot2	56	6	0	y	4	1	960.71
67.02335	0.91899	68.35707	BisliOnion	SkittlesSour4	51	50	1	b	2	1	833.02
70.02391	0.91899	71.37969	KashitSour	SkittlesSour4	54	50	1	y	2	0	860.47
80.02567	0.91899	81.91326	DoritosSourSpicy	ChocolateParaMarir2	15	17	0	y	1	1	1385.71
84.02635	0.91899	85.51014	BisliBbq	Smarties	52	46	0	y	2	1	985.06
87.02687	0.91899	88.76336	Shugi	Smarties	47	46	0	y	2	1	1239.5
90.02746	0.91899	91.56327	SkittlesFruits2	Mekupelet	43	44	1	y	2	0	1043.92
94.01322	0.91899	95.34665	Twix	Kitkat	11	12	1	b	1	1	831.15
100.0134	0.91899	101.5802	ClickXLbrown4	Kitkat	8	12	1	b	1	1	1060.01
103.0133	0.91899	104.8468	BisliBbq	KashitSour	52	54	0	b	2	0	1330.08
106.0136	0.91899	107.3137	Egozi	Twix	18	11	0	y	1	1	801.82
110.0167	0.91899	111.498	GumiWine2	Halva2	45	49	0	b	2	0	974.69
113.0147	0.91899	114.7485	Snickers	ClickXLbrown4	10	8	0	b	1	0	1227.62
116.0175	0.91899	117.6992	KinderJoy	DoritosSourSpicy	16	15	1	b	1	1	1174.86
130.0192	0.91899	131.5181	ClickXLbrown4	Apropo	8	7	1	b	1	1	997.17
140.0196	0.91899	141.3531	Twix	Bamba	11	13	1	b	1	1	828.74
146.0205	0.91899	147.4042	Bounty	WerthersOriginal	5	55	1	b	4	1	880.9
150.0213	0.91899	151.7051	BisliGrill	Shugi	48	47	1	b	2	1	1180.11
156.0222	0.91899	157.2643	BisliGrill	GumiWine2	48	45	1	b	2	1	737.21
160.0229	0.91899	161.5642	Cheetos	Apropo	14	7	1	b	1	1	1036.46
166.0239	0.91899	167.4076	Halva2	Mekupelet	49	44	1	y	2	0	883.47
178.0261	0.91899	180.0265	BisliBbq	SkittlesFruits2	52	43	0	x	2	NaN	NaN
181.0266	0.91899	183.0271	Shugi	BisliOnion	47	51	0	x	2	NaN	NaN
188.0277	0.91899	190.0282	GumiWine2	BisliOnion	45	51	0	x	2	NaN	NaN
