onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
1510.777	1	1511.795	ClickBisquit2	51	0	0	NaN	NaN
1512.762	1	1513.78	Loacker	17	0	1	NaN	NaN
1516.767	1	1517.803	HispusimShatiah	47	1	0	616.7271	897.8194
1519.77	1	1520.788	ClickBalls5	9	0	1	NaN	NaN
1521.773	1	1522.79	BisliPizza3	56	0	0	NaN	NaN
1524.776	1	1525.794	ClickXLwhite4	39	0	0	NaN	NaN
1528.764	1	1529.782	BambaSweet	49	0	0	NaN	NaN
1532.768	1	1533.805	SkittlesSour4	52	1	0	633.3861	934.7868
1534.77	1	1535.788	Twist	48	0	0	NaN	NaN
1539.776	1	1540.794	BambaNugat	22	0	1	NaN	NaN
1541.762	1	1542.798	BabyDoll	45	1	0	650.0543	1066.651
1543.764	1	1544.782	HappyHippo	3	0	1	NaN	NaN
1549.771	1	1550.788	KinderBuenoWhite2	8	0	1	NaN	NaN
1551.773	1	1552.791	Cheetos	46	0	0	NaN	NaN
1553.775	1	1554.793	CrunchBisquitWhite2	19	0	1	NaN	NaN
1555.76	1	1556.779	Bamba	21	0	1	NaN	NaN
1559.765	1	1560.783	DoritosGrill	20	0	1	NaN	NaN
1563.77	1	1564.788	BisliOnion	57	0	0	NaN	NaN
1566.773	1	1567.809	Snickers	15	1	1	616.7237	1044.089
1570.76	1	1571.797	Shugi	10	1	1	566.7101	906.7432
1573.764	1	1574.799	Kitkat	12	1	1	583.389	903.0672
1575.766	1	1576.784	CrunchBisquitBrown3	6	0	1	NaN	NaN
1579.771	1	1580.806	ChocolateParaMarir2	7	1	1	600.0506	834.1506
1581.773	1	1582.791	WerthersOriginal	58	0	0	NaN	NaN
1583.775	1	1584.81	KifkefMaklot2	50	1	0	600.0485	867.391
1587.763	1	1588.781	Keifli	54	0	0	NaN	NaN
1589.765	1	1590.8	ClickBlackWhite3	18	1	1	616.7181	890.1726
1593.77	1	1594.806	DoritosSourSpicy	53	1	0	616.7211	885.8013
1597.774	1	1598.81	Hit	44	1	0	633.3925	894.0299
1600.761	1	1601.779	Tictac	42	0	0	NaN	NaN
1606.768	1	1607.786	PesekZman	16	0	1	NaN	NaN
1608.77	1	1609.788	Dubonim	40	0	0	NaN	NaN
1612.775	1	1613.793	KinderBuenoBrown3	5	0	1	NaN	NaN
1614.76	1	1615.778	KashitSour	11	0	1	NaN	NaN
1616.762	1	1617.78	ChocolateParaSucariotKoftzot2	4	0	1	NaN	NaN
1618.765	1	1619.782	Egozi	43	0	0	NaN	NaN
1623.77	1	1624.807	Mekupelet	13	1	1	633.3844	1036.816
1625.773	1	1626.79	ChocolateParaCookies5	14	0	1	NaN	NaN
1627.775	1	1628.793	BisliBbq	55	0	0	NaN	NaN
1630.761	1	1631.779	Mentos	41	0	0	NaN	NaN
