onset	duration	fixation_onset	item_name_left	item_name_right	item_rank_left	item_rank_right	is_left_go	response	pair_type	is_go_chosen	RT
2.014614	0.9575	3.298337	DoritosNatural	Hit	50	49	0	y	2	1	778.57
6.015294	0.9575	7.258782	BabyDoll	Twist	44	48	0	b	2	0	741.89
13.0165	0.9575	14.50018	Hit	BabyDoll	49	44	1	b	2	1	977.68
16.01705	0.9575	17.39219	DoritosNatural	Tapuchips	50	43	0	y	2	1	872.15
21.01796	0.9575	22.32543	Kitkat	BambaNugat	12	9	0	b	1	0	803.23
31.01968	0.9575	32.60912	DoritosGrill	Keifli	52	54	0	y	2	1	1096.5
34.02018	0.9575	35.5373	Twist	Mentos	48	47	1	y	2	0	1017
37.02078	0.9575	38.29253	Dubonim	Mars	55	5	0	y	4	1	769.4
46.02235	0.9575	47.35917	Tapuchips	BabyDoll	43	44	1	y	2	0	845.82
49.02284	0.9575	50.20658	Taami	BambaNugat	7	9	0	b	1	0	683.34
59.00926	0.9575	60.45933	Bounty	Kitkat	14	12	1	y	1	0	947.92
64.0093	0.9575	65.32629	KinderBuenoWhite2	KashitSour	8	18	1	b	1	1	812.88
69.00969	0.9575	70.64355	Hit	DoritosGrill	49	52	1	b	2	1	1127.49
77.01106	0.9575	78.69486	Hit	Mentos	49	47	1	b	2	1	1177.11
84.01222	0.9575	85.87937	BisliOnion	DoritosGrill	51	52	1	b	2	1	1359.97
88.01292	0.9575	89.53	BisliBbq	Mars	56	5	0	y	4	1	1016.26
91.01352	0.9575	92.68068	ClickXLbrown4	Taami	17	7	1	b	1	1	1164.65
96.01432	0.9575	97.84828	Cheetos	BisliOnion	45	51	0	y	2	1	1332.85
99.01487	0.9575	100.5267	Shugi	ClickXLbrown4	10	17	0	y	1	1	1005.31
107.0163	0.9575	108.65	Cheetos	BisliGrill	45	46	0	y	2	1	1132.92
113.0173	0.9575	114.3344	Bounty	Tictac	14	13	1	b	1	1	814.85
118.0181	0.9575	119.4852	Mentos	BisliOnion	47	51	0	b	2	0	967.05
123.0191	0.9575	124.5436	HispusimShatiah	BambaNugat	15	9	0	y	1	1	1024.11
126.0196	0.9575	127.37	KinderBuenoWhite2	Shugi	8	10	1	b	1	1	849.57
140.0219	0.9575	141.6271	ChocolateParaCookies5	Taami	11	7	1	y	1	0	1104.24
143.0226	0.9575	144.5606	Tictac	ClickXLbrown4	13	17	0	y	1	1	1048.62
147.0231	0.9575	148.5939	KashitSour	Bounty	18	14	0	y	1	1	1075.03
151.0104	0.9575	152.5577	BisliOnion	DoritosNatural	51	50	1	b	2	1	1035.79
154.0108	0.9575	155.594	Keifli	Cheetos	54	45	1	y	2	0	1084.37
157.0106	0.9575	158.8253	ClickXLbrown4	HispusimShatiah	17	15	1	b	1	1	1303.62
163.0107	0.9575	164.4275	HispusimShatiah	Bounty	15	14	0	y	1	1	913.53
169.0106	0.9575	170.5609	Shugi	Bounty	10	14	0	y	1	1	1046.55
172.0138	0.9575	173.7613	Tapuchips	DoritosGrill	43	52	1	b	2	1	1238.38
175.0114	0.9575	176.8784	KinderBuenoBrown3	KashitSour	16	18	1	b	1	1	1370.81
179.0121	0.9575	180.7959	BabyDoll	Keifli	44	54	0	b	2	0	1285.09
182.0128	0.9575	184.0158	Egozi	Tapuchips	53	43	0	x	2	NaN	NaN
185.0131	0.9575	186.1445	KinderBuenoBrown3	Kitkat	16	12	1	b	1	1	622.1
188.0141	0.9575	189.1641	ChocolateParaCookies5	Tictac	11	13	1	b	1	1	649.09
