onset	duration	fixation_onset	item_name	item_rank	is_one
2.016995	2	2.025242	CrunchShokoVanil.	49	1
11.018374	2	11.017772	GumiWine2.	58	0
20.009034	2	20.008776	BisliOnion.	18	0
29.009051	2	29.008874	KinderJoy.	40	1
38.009188	2	38.009059	BisliPizza3.	14	0
47.009303	2	47.009082	BisliBbq.	11	0
56.009403	2	56.009285	ClickBalls5.	41	0
65.01091	2	65.010427	HispusimShatiah.	56	0
74.014124	2	74.012822	Smarties.	50	0
83.01415	2	83.013546	Halva2.	42	1
92.015693	2	92.015159	Twist.	55	1
101.017342	2	101.016708	WerthersOriginal.	13	0
110.018752	2	110.018228	BisliGrill.	8	0
119.010188	2	119.009985	Hit.	46	0
128.010333	2	128.010094	Taami.	52	1
137.010378	2	137.010215	Tapuchips.	51	0
146.010501	2	146.010284	CrunchBisquitWhite2.	19	1
155.010646	2	155.010376	ChocolateParaCookies5.	3	1
164.01137	2	164.010837	BambaNugat.	44	0
173.013042	2	173.012198	Mekupelet.	17	1
182.014216	2	182.013803	ClickXLwhite4.	45	1
191.016113	2	191.015532	BambaSweet.	43	0
200.017493	2	200.017027	Egozi.	47	1
209.01892	2	209.018461	KinderBuenoWhite2.	5	1
218.020633	2	218.020186	Tortit.	48	1
227.011308	2	227.011136	BabyDoll.	57	0
236.012533	2	236.011251	Bounty.	53	1
245.011484	2	245.011295	Bamba.	7	0
254.013815	2	254.014326	Kitkat.	9	1
263.011682	2	263.011497	HappyHippo.	12	1
272.015784	2	272.015536	Twix.	22	1
281.01491	2	281.014223	Loacker.	6	0
290.018461	2	290.017312	Apropo.	10	0
299.017803	2	299.017347	Shugi.	54	1
308.012333	2	308.018909	PesekZman.	20	1
317.012239	2	317.012153	SkittlesSour4.	15	0
326.012587	2	326.012096	KashitSour.	39	0
335.012539	2	335.012371	DoritosGrill.	16	0
344.012498	2	344.012356	SkittlesFruits2.	21	0
353.012584	2	353.012516	Cheetos.	4	0
