onset	duration	trial_num	item_name	bid	RT
0	4.371	1	DoritosSourSpicy	5.42222222222	4371
4.371	4.757	2	WerthersOriginal	1.68888888889	4757
9.128	9.127	3	Keifli	2.71111111111	9127
18.255	5.672	4	Tapuchips	4.24444444444	5672
23.927	5.288	5	BagaleShtuhim	1.6	5288
29.215	5.507	6	Bounty	1.6	5507
34.722	3.119	7	Bamba	3.77777777778	3119
37.841	6.073	8	Tictac	0.0222222222222	6073
43.914	6.039	9	ChocolateParaCookies5	6.42222222222	6039
49.953	3.27	10	ChocolateParaSucariotKoftzot2	2.68888888889	3270
53.223	4.189	11	Kitkat	3.26666666667	4189
57.412	2.77	12	GumiSnakes3	0.0222222222222	2770
60.182	2.719	13	Shugi	0.0222222222222	2719
62.901	8.376	14	ClickBalls5	4	8376
71.277	2.537	15	ClickBisquit2	5.62222222222	2537
73.814	3.486	16	CrunchBisquitWhite2	5.02222222222	3486
77.3	6.172	17	BisliPizza3	4.28888888889	6172
83.472	2.502	18	Smarties	0.0444444444444	2502
85.974	3.287	19	Mentos	0.0666666666667	3287
89.261	4.121	20	KinderBuenoWhite2	2.73333333333	4121
93.382	2.517	21	Egozi	0.0222222222222	2517
95.899	3.622	22	ClickBlackWhite3	5.15555555556	3622
99.521	2.718	23	HispusimShatiah	0.0444444444444	2718
102.239	4.156	24	BisliBbq	6.44444444444	4156
106.395	3.002	25	Apropo	8.17777777778	3002
109.397	7.423	26	CrunchBisquitBrown3	6.15555555556	7423
116.82	6.041	27	PesekZman	5.4	6041
122.861	2.721	28	Twix	0.244444444444	2721
125.582	3.269	29	KashitSour	0.133333333333	3269
128.851	2.169	30	Taami	0.0888888888889	2169
131.02	5.638	31	CrunchShokoVanil	0.955555555556	5638
136.658	4.154	32	DoritosNatural	6.51111111111	4154
140.812	2.303	33	Twist	0.0222222222222	2303
143.115	3.337	34	BisliOnion	0.222222222222	3337
146.452	4.821	35	DoritosGrill	5.02222222222	4821
151.273	4.604	36	Loacker	3.97777777778	4604
155.877	2.92	37	BambaSweet	0.0666666666667	2920
158.797	2.218	38	Tortit	1.8	2218
161.015	5.856	39	ChocolateParaMilk3	5.55555555556	5856
166.871	1.868	40	SkittlesFruits2	0.0444444444444	1868
168.739	6.207	41	KinderBuenoBrown3	3.97777777778	6207
174.946	2.22	42	KinderJoy	0.155555555556	2220
177.166	2.386	43	BabyDoll	0.0888888888889	2386
179.552	4.038	44	Cheetos	3.95555555556	4038
183.59	3.872	45	ClickXLwhite4	6.04444444444	3872
187.462	2.854	46	BambaNugat	0.0444444444444	2854
190.316	5.205	47	Mekupelet	2.88888888889	5205
195.521	3.856	48	ChocolateParaMarir2	0.0444444444444	3856
199.377	4.988	49	ClickXLbrown4	6.04444444444	4988
204.365	2.92	50	HappyHippo	0.0444444444444	2920
207.285	1.953	51	SkittlesSour4	0.0444444444444	1953
209.238	2.501	52	GumiWine2	0.0444444444444	2501
211.739	5.624	53	Mars	0.244444444444	5624
217.363	5.474	54	BisliGrill	6.08888888889	5474
222.837	2.585	55	Snickers	0.133333333333	2585
225.422	3.103	56	KifkefMaklot2	0.0222222222222	3103
228.525	7.024	57	Hit	6.13333333333	7024
235.549	4.506	58	Popco	2.77777777778	4506
240.055	5.089	59	Dubonim	8.17777777778	5089
245.144	7.46	60	Halva2	0.133333333333	7460
