onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
1562.495	1	1563.514	BagaleShtuhim	48	0	0	NaN	NaN
1565.482	1	1566.518	ChocolateParaCookies5	10	1	1	583.3907	1034.866
1569.486	1	1570.505	KifkefMaklot2	8	0	1	NaN	NaN
1571.489	1	1572.507	DoritosNatural	42	0	0	NaN	NaN
1573.491	1	1574.528	Snickers	44	1	0	583.3898	867.5075
1577.495	1	1578.514	Shugi	39	0	0	NaN	NaN
1579.497	1	1580.516	SkittlesFruits2	22	0	1	NaN	NaN
1584.486	1	1585.505	DoritosGrill	4	0	1	NaN	NaN
1586.489	1	1587.507	Mars	17	0	1	NaN	NaN
1589.492	1	1590.528	Halva2	13	1	1	533.3772	920.5923
1592.495	1	1593.532	Egozi	50	1	0	600.0571	932.4456
1596.483	1	1597.52	Tapuchips	12	1	1	550.0521	904.8021
1599.487	1	1600.523	Apropo	7	1	1	566.7115	1006.511
1601.489	1	1602.507	Bamba	55	0	0	NaN	NaN
1604.492	1	1605.529	Mekupelet	47	1	0	616.7276	1277.466
1608.497	1	1609.516	GumiSnakes3	21	0	1	NaN	NaN
1611.483	1	1612.502	Twist	56	0	0	NaN	NaN
1613.486	1	1614.522	CrunchShokoVanil	52	1	0	566.7176	845.6768
1615.488	1	1616.506	Taami	16	0	1	NaN	NaN
1620.493	1	1621.511	BisliGrill	43	0	0	NaN	NaN
1624.498	1	1625.516	HispusimShatiah	20	0	1	NaN	NaN
1628.486	1	1629.504	Mentos	57	0	0	NaN	NaN
1634.492	1	1635.51	CrunchBisquitWhite2	3	0	1	NaN	NaN
1636.495	1	1637.531	Bounty	53	1	0	583.3875	888.9747
1638.497	1	1639.515	ChocolateParaSucariotKoftzot2	11	0	1	NaN	NaN
1640.482	1	1641.5	Popco	6	0	1	NaN	NaN
1642.485	1	1643.503	Smarties	49	0	0	NaN	NaN
1646.489	1	1647.507	Hit	5	0	1	NaN	NaN
1648.491	1	1649.51	ClickXLwhite4	40	0	0	NaN	NaN
1652.496	1	1653.515	GumiWine2	41	0	0	NaN	NaN
1654.498	1	1655.535	ClickBisquit2	15	1	1	516.7229	908.7151
1656.484	1	1657.502	PesekZman	54	0	0	NaN	NaN
1658.486	1	1659.504	Tictac	58	0	0	NaN	NaN
1663.492	1	1664.51	Keifli	14	0	1	NaN	NaN
1665.494	1	1666.512	BambaNugat	46	0	0	NaN	NaN
1667.496	1	1668.514	WerthersOriginal	51	0	0	NaN	NaN
1670.482	1	1671.501	DoritosSourSpicy	9	0	1	NaN	NaN
1677.491	1	1678.509	KinderBuenoWhite2	19	0	1	NaN	NaN
1681.495	1	1682.531	BisliOnion	45	1	0	600.0539	991.7189
1688.486	1	1689.523	Loacker	18	1	1	533.3762	953.4377
